what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.0.v200806070500,org.eclipse.datatools.sqltools.sqlbuilder,1228824044644
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.0.v200805152355,org.eclipse.datatools.sqltools.sqleditor,1228824044645
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.0.0.v200806050000,org.eclipse.jpt.eclipselink.core,1228824044646
stopped,bundle,org.eclipse.jpt.core,2.0.0.v200805220000,org.eclipse.jpt.core,1228824044647
stopped,bundle,org.eclipse.jpt.db,1.1.1.v200805020000,org.eclipse.jpt.db,1228824044648
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200806041138,org.eclipse.datatools.enablement.sybase.ui,1228824044648
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase,1.0.1.v200806040735,org.eclipse.datatools.enablement.sybase.ase,1228824044649
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.models,1.0.1.v200805152355,org.eclipse.datatools.enablement.sybase.ase.models,1228824044650
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa,1.0.1.v200805310538,org.eclipse.datatools.enablement.sybase.asa,1228824044651
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.models,1.0.0.v200805152355,org.eclipse.datatools.enablement.sybase.asa.models,1228824044652
stopped,bundle,org.eclipse.datatools.enablement.sybase,1.0.1.v200805310538,org.eclipse.datatools.enablement.sybase,1228824044652
stopped,bundle,org.eclipse.datatools.sqltools.editor.core,1.0.0.v200805152355,org.eclipse.datatools.sqltools.editor.core,1228824044652
stopped,bundle,org.eclipse.datatools.sqltools.sql,1.0.0.v200805152355,org.eclipse.datatools.sqltools.sql,1228824044653
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.0.0.200806171202,org.eclipse.cdt.mylyn.ui,1228824044653
stopped,bundle,org.eclipse.team.svn.mylyn,0.7.1.I20080612-1500,org.eclipse.team.svn.mylyn,1228824044653
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080530-1200,org.eclipse.pde.runtime,1228824044654
stopped,bundle,org.eclipse.datatools.connectivity.ui.templates,1.0.0.v200805152355,org.eclipse.datatools.connectivity.ui.templates,1228824044654
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1228824044656
stopped,bundle,org.eclipse.tptp.test.tools.junit.plugin.doc.user,4.5.0.v200805310100,org.eclipse.tptp.test.tools.junit.plugin.doc.user,1228824044656
stopped,bundle,org.eclipse.tptp.test.tools.junit.plugin,4.4.100.v200805120832,org.eclipse.tptp.test.tools.junit.plugin,1228824044656
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.0.6.v200805152355,org.eclipse.datatools.connectivity.oda.template.ui,1228824044657
stopped,bundle,org.eclipse.rap.ui.launch,1.1.0.20080613-1119,org.eclipse.rap.ui.launch,1228824044658
stopped,bundle,org.eclipse.uml2.diagram.codegen.edit,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen.edit,1228824044659
stopped,bundle,org.eclipse.uml2.diagram.codegen,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen,1228824044659
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.0.v20080512-1200,org.eclipse.gmf.codegen.ui,1228824044660
