what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1228823936063
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1228823936063
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.102.v200805140135,org.eclipse.jst.j2ee.ejb.annotations.emitter,1228823936064
stopped,bundle,org.eclipse.tptp.trace.jvmti.client,4.4.100.v200806162043,org.eclipse.tptp.trace.jvmti.client,1228823936064
stopped,bundle,org.eclipse.hyades.trace.views,4.1.501.v200806061557,org.eclipse.hyades.trace.views,1228823936065
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.1.0.v20080605,org.eclipse.jst.jsf.common.ui,1228823936066
stopped,bundle,org.eclipse.jet.editor,0.9.0.v20080226,org.eclipse.jet.editor,1228823936066
stopped,bundle,org.eclipse.tptp.monitoring.managedagent.jmx,4.4.1.v200805120832,org.eclipse.tptp.monitoring.managedagent.jmx,1228823936066
stopped,bundle,org.eclipse.tptp.monitoring.managedagent.ui,4.4.100.v200804110100,org.eclipse.tptp.monitoring.managedagent.ui,1228823936067
stopped,bundle,org.eclipse.tptp.monitoring.managedagent,4.4.100.v200805120832,org.eclipse.tptp.monitoring.managedagent,1228823936067
stopped,bundle,org.eclipse.tptp.platform.report.birt.ui,4.4.100.v200804161128,org.eclipse.tptp.platform.report.birt.ui,1228823936068
stopped,bundle,org.eclipse.hyades.trace.ui,4.4.101.v200806130100,org.eclipse.hyades.trace.ui,1228823936069
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1228823936070
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1228823936070
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.301.v200805140145,org.eclipse.jst.server.websphere.core,1228823936071
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1228823936071
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.100.v20080528,org.eclipse.jst.server.tomcat.ui,1228823936074
stopped,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1228823936074
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1228823936076
stopped,bundle,org.eclipse.stp.soas.deploy.runtime.cxf,0.8.0.200806121858,org.eclipse.stp.soas.deploy.runtime.cxf,1228823936076
stopped,bundle,org.eclipse.stp.sc.cxf,0.9.0.200806121858,org.eclipse.stp.sc.cxf,1228823936077
stopped,bundle,org.eclipse.stp.soas.deploy.tomcat,0.8.0.200806121858,org.eclipse.stp.soas.deploy.tomcat,1228823936077
stopped,bundle,org.eclipse.stp.sc.jaxwsri,0.9.0.200806121858,org.eclipse.stp.sc.jaxwsri,1228823936078
stopped,bundle,org.eclipse.stp.sc.jaxws,0.8.0.200806121858,org.eclipse.stp.sc.jaxws,1228823936085
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1228823936086
