what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.search.genmodel.ui,0.7.0.v200806130939,org.eclipse.emf.search.genmodel.ui,1228823936013
stopped,bundle,org.eclipse.uml2.search.ui,0.7.0.v200806130939,org.eclipse.uml2.search.ui,1228823936014
stopped,bundle,org.eclipse.emf.search.genmodel,0.7.0.v200806130939,org.eclipse.emf.search.genmodel,1228823936014
stopped,bundle,org.eclipse.emf.search.ecore.ui,0.7.0.v200806130939,org.eclipse.emf.search.ecore.ui,1228823936014
stopped,bundle,org.eclipse.uml2.search,0.7.0.v200806130939,org.eclipse.uml2.search,1228823936015
stopped,bundle,org.eclipse.emf.search.ecore,0.7.0.v200806130939,org.eclipse.emf.search.ecore,1228823936015
stopped,bundle,org.eclipse.emf.search.common,0.7.0.v200806130939,org.eclipse.emf.search.common,1228823936015
stopped,bundle,org.eclipse.emf.search.ui,0.7.0.v200806130939,org.eclipse.emf.search.ui,1228823936015
stopped,bundle,org.eclipse.emf.search,0.7.0.v200806130939,org.eclipse.emf.search,1228823936015
stopped,bundle,org.eclipse.dd.ipxact.checker.ui,0.9.0.v20080609,org.eclipse.dd.ipxact.checker.ui,1228823936016
stopped,bundle,org.eclipse.dd.ipxact.editor.ui,0.9.0.v20080609,org.eclipse.dd.ipxact.editor.ui,1228823936017
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.0.v20080605,org.eclipse.jst.pagedesigner.jsf.ui,1228823936017
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.0.0.v20080605,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1228823936018
stopped,bundle,org.eclipse.jst.pagedesigner,1.1.0.v20080605,org.eclipse.jst.pagedesigner,1228823936024
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.300.v200805152207,org.eclipse.wst.dtd.ui,1228823936025
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.100.v200806051913,org.eclipse.wst.wsdl.ui,1228823936026
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.101.v200806051910,org.eclipse.wst.xsd.ui,1228823936030
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1228823936031
stopped,bundle,org.eclipse.jst.jsf.ui,1.1.0.v20080606,org.eclipse.jst.jsf.ui,1228823936031
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.300.v200805152207,org.eclipse.jst.jsp.ui,1228823936033
stopped,bundle,org.eclipse.wst.xsl.ui,0.5.0.v20080615,org.eclipse.wst.xsl.ui,1228823936034
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.1.0.v20080610,org.eclipse.jst.jsf.facesconfig.ui,1228823936034
stopped,bundle,org.eclipse.wst.html.ui,1.0.300.v200805152207,org.eclipse.wst.html.ui,1228823936035
stopped,bundle,org.eclipse.wst.css.ui,1.0.300.v200805152207,org.eclipse.wst.css.ui,1228823936036
stopped,bundle,org.eclipse.wst.xml.ui.editor.outline,0.5.0.v20080323,org.eclipse.wst.xml.ui.editor.outline,1228823936037
