what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.xsd.editor,2.4.0.v200806091234,org.eclipse.xsd.editor,1228823935922
stopped,bundle,org.eclipse.stp.policy.wtp.editor,1.0.0.200806121858,org.eclipse.stp.policy.wtp.editor,1228823935922
stopped,bundle,org.eclipse.m2m.atl.engine.emfvm,2.0.0.v200806101117,org.eclipse.m2m.atl.engine.emfvm,1228823935923
stopped,bundle,org.eclipse.m2m.atl.adt.editor,2.0.0.v200806101117,org.eclipse.m2m.atl.adt.editor,1228823935923
stopped,bundle,org.eclipse.m2m.atl.adt.debug,2.0.0.v200806101117,org.eclipse.m2m.atl.adt.debug,1228823935924
stopped,bundle,org.eclipse.ecf.provider.ui,1.3.0.v20080623-0046,org.eclipse.ecf.provider.ui,1228823935925
stopped,bundle,org.eclipse.ecf.examples.remoteservices.client,1.0.100.v20080623-0046,org.eclipse.ecf.examples.remoteservices.client,1228823935925
stopped,bundle,org.eclipse.ecf.provider.xmpp.ui,2.0.0.v20080623-0046,org.eclipse.ecf.provider.xmpp.ui,1228823935926
stopped,bundle,org.eclipse.ecf.docshare,2.0.0.v20080623-0046,org.eclipse.ecf.docshare,1228823935926
stopped,bundle,org.eclipse.ecf.provider.irc.ui,1.3.0.v20080623-0046,org.eclipse.ecf.provider.irc.ui,1228823935927
stopped,bundle,org.eclipse.ecf.provider.msn.ui,1.3.0.v20080623-0046,org.eclipse.ecf.provider.msn.ui,1228823935927
stopped,bundle,org.eclipse.ecf.presence.collab.ui,1.2.0.v20080623-0046,org.eclipse.ecf.presence.collab.ui,1228823935928
stopped,bundle,org.eclipse.ecf.presence.ui,1.2.0.v20080623-0046,org.eclipse.ecf.presence.ui,1228823935928
stopped,bundle,org.eclipse.ecf.example.collab,1.3.0.v20080623-0046,org.eclipse.ecf.example.collab,1228823935928
stopped,bundle,org.eclipse.ecf.provider.bittorrent.ui,0.2.0.v20080623-0046,org.eclipse.ecf.provider.bittorrent.ui,1228823935935
stopped,bundle,org.eclipse.ecf.filetransfer.ui,1.4.0.v20080623-0046,org.eclipse.ecf.filetransfer.ui,1228823935936
stopped,bundle,org.eclipse.ecf.ui,2.0.0.v20080623-0046,org.eclipse.ecf.ui,1228823935937
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.v200805152355,org.eclipse.datatools.sqltools.debugger.core,1228823935937
stopped,bundle,org.eclipse.datatools.sqltools.db.derby,1.0.0.v200805152355,org.eclipse.datatools.sqltools.db.derby,1228823935938
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200805261703,org.eclipse.datatools.sqltools.routineeditor,1228823935939
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200805310538,org.eclipse.datatools.enablement.sybase.asa.ui,1228823935939
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200805310538,org.eclipse.datatools.enablement.sybase.ase.ui,1228823935940
stopped,bundle,org.eclipse.datatools.sqltools.tablewizard,1.0.0.v200805152355,org.eclipse.datatools.sqltools.tablewizard,1228823935940
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.0.v200805152355,org.eclipse.datatools.sqltools.ddlgen.ui,1228823935941
stopped,bundle,org.eclipse.datatools.sqltools.db.generic,1.0.0.v200805152355,org.eclipse.datatools.sqltools.db.generic,1228823935941
