what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.rse.importexport,1.1.0.v20080604,org.eclipse.rse.importexport,1228823936223
stopped,bundle,org.eclipse.rse.files.ui,3.0.0.v20080609,org.eclipse.rse.files.ui,1228823936224
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.xml.wtp,2.3.0.v200806102,org.eclipse.birt.report.designer.ui.editor.xml.wtp,1228823936231
stopped,bundle,org.eclipse.wst.javascript.ui,1.0.200.v200805160650,org.eclipse.wst.javascript.ui,1228823936232
stopped,bundle,org.eclipse.wst.sse.ui,1.1.0.v200806041847,org.eclipse.wst.sse.ui,1228823936233
stopped,bundle,org.eclipse.rse.processes.ui,3.0.0.v20080604,org.eclipse.rse.processes.ui,1228823936234
stopped,bundle,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search,1228823936235
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1228823936235
stopped,bundle,org.eclipse.team.svn.ui,0.7.1.I20080612-1500,org.eclipse.team.svn.ui,1228823936235
stopped,bundle,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui,1228823936264
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.1.0.v200805310400,org.eclipse.datatools.sqltools.data.ui,1228823936265
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.0.v200805240400,org.eclipse.datatools.sqltools.tabledataeditor,1228823936266
stopped,bundle,org.eclipse.datatools.sqltools.result,1.0.0.v200805301309,org.eclipse.datatools.sqltools.result,1228823936267
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.script,2.3.0.v200806102,org.eclipse.birt.report.designer.ui.editor.script,1228823936267
stopped,bundle,org.eclipse.m2m.atl.adt.perspective,2.0.0.v200806101117,org.eclipse.m2m.atl.adt.perspective,1228823936268
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.runtime.ui,1228823936269
stopped,bundle,org.eclipse.m2m.qvt.oml.common.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.common.ui,1228823936269
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.runtime,1228823936269
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1228823936270
stopped,bundle,org.eclipse.m2m.qvt.oml.project,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.project,1228823936271
stopped,bundle,org.eclipse.jet.ui,0.9.0.v20080527,org.eclipse.jet.ui,1228823936271
stopped,bundle,org.eclipse.dltk.tcl.launching,0.95.0.v20080526-1423,org.eclipse.dltk.tcl.launching,1228823936272
stopped,bundle,org.eclipse.dltk.tcl.debug,0.95.0.v20080526-1423,org.eclipse.dltk.tcl.debug,1228823936272
stopped,bundle,org.eclipse.stp.b2j.ui,1.0.0.200806121858,org.eclipse.stp.b2j.ui,1228823936273
