what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.stp.policy.wtp.editor,1.0.0.200806121858,org.eclipse.stp.policy.wtp.editor,1228824044614
stopped,bundle,org.eclipse.m2m.atl.engine.emfvm,2.0.0.v200806101117,org.eclipse.m2m.atl.engine.emfvm,1228824044616
stopped,bundle,org.eclipse.m2m.atl.adt.editor,2.0.0.v200806101117,org.eclipse.m2m.atl.adt.editor,1228824044617
stopped,bundle,org.eclipse.m2m.atl.adt.debug,2.0.0.v200806101117,org.eclipse.m2m.atl.adt.debug,1228824044617
stopped,bundle,org.eclipse.ecf.provider.ui,1.3.0.v20080623-0046,org.eclipse.ecf.provider.ui,1228824044618
stopped,bundle,org.eclipse.ecf.examples.remoteservices.client,1.0.100.v20080623-0046,org.eclipse.ecf.examples.remoteservices.client,1228824044618
stopped,bundle,org.eclipse.ecf.provider.xmpp.ui,2.0.0.v20080623-0046,org.eclipse.ecf.provider.xmpp.ui,1228824044619
stopped,bundle,org.eclipse.ecf.docshare,2.0.0.v20080623-0046,org.eclipse.ecf.docshare,1228824044620
stopped,bundle,org.eclipse.ecf.provider.irc.ui,1.3.0.v20080623-0046,org.eclipse.ecf.provider.irc.ui,1228824044620
stopped,bundle,org.eclipse.ecf.provider.msn.ui,1.3.0.v20080623-0046,org.eclipse.ecf.provider.msn.ui,1228824044621
stopped,bundle,org.eclipse.ecf.presence.collab.ui,1.2.0.v20080623-0046,org.eclipse.ecf.presence.collab.ui,1228824044622
stopped,bundle,org.eclipse.ecf.presence.ui,1.2.0.v20080623-0046,org.eclipse.ecf.presence.ui,1228824044623
stopped,bundle,org.eclipse.ecf.example.collab,1.3.0.v20080623-0046,org.eclipse.ecf.example.collab,1228824044623
stopped,bundle,org.eclipse.ecf.provider.bittorrent.ui,0.2.0.v20080623-0046,org.eclipse.ecf.provider.bittorrent.ui,1228824044623
stopped,bundle,org.eclipse.ecf.filetransfer.ui,1.4.0.v20080623-0046,org.eclipse.ecf.filetransfer.ui,1228824044624
stopped,bundle,org.eclipse.ecf.ui,2.0.0.v20080623-0046,org.eclipse.ecf.ui,1228824044625
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.v200805152355,org.eclipse.datatools.sqltools.debugger.core,1228824044626
stopped,bundle,org.eclipse.datatools.sqltools.db.derby,1.0.0.v200805152355,org.eclipse.datatools.sqltools.db.derby,1228824044628
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200805261703,org.eclipse.datatools.sqltools.routineeditor,1228824044629
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200805310538,org.eclipse.datatools.enablement.sybase.asa.ui,1228824044630
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200805310538,org.eclipse.datatools.enablement.sybase.ase.ui,1228824044631
stopped,bundle,org.eclipse.datatools.sqltools.tablewizard,1.0.0.v200805152355,org.eclipse.datatools.sqltools.tablewizard,1228824044632
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.0.v200805152355,org.eclipse.datatools.sqltools.ddlgen.ui,1228824044633
stopped,bundle,org.eclipse.datatools.sqltools.db.generic,1.0.0.v200805152355,org.eclipse.datatools.sqltools.db.generic,1228824044633
stopped,bundle,org.eclipse.birt.report.data.oda.jdbc.dbprofile.ui,2.3.0.v20080606,org.eclipse.birt.report.data.oda.jdbc.dbprofile.ui,1228824044634
