what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.xml.xpath.ui,0.5.0.v20080512,org.eclipse.wst.xml.xpath.ui,1228823936038
stopped,bundle,org.eclipse.stp.xef,1.0.0.200806121858,org.eclipse.stp.xef,1228823936038
stopped,bundle,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui,1228823936040
stopped,bundle,org.eclipse.wst.common.ui,1.1.301.v200805140415,org.eclipse.wst.common.ui,1228823936041
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1228823936041
stopped,bundle,org.python.pydev.mylyn,0.3,org.python.pydev.mylyn,1228823936042
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1228823936042
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1228823936053
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ui,1228823936054
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.team.ui,1228823936054
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1228823936054
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.context.ui,1228823936054
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.bugs,1228823936055
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.help.ui,1228823936055
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.bugzilla.ui,1228823936055
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui,1228823936055
stopped,bundle,org.python.pydev.debug,1.3.18,org.python.pydev.debug,1228823936058
stopped,bundle,org.python.pydev.refactoring,1.3.18,org.python.pydev.refactoring,1228823936058
stopped,bundle,org.python.pydev.templates,1.3.18,org.python.pydev.templates,1228823936059
stopped,bundle,org.python.pydev,1.3.18,org.python.pydev,1228823936059
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v200805152355,org.eclipse.datatools.enablement.jdt.classpath,1228823936059
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1228823936060
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.201.v200805301834,org.eclipse.jst.ws.axis2.ui,1228823936060
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.300.v200805140230,org.eclipse.jst.ws.uddiregistry,1228823936061
stopped,bundle,org.eclipse.jst.ws.ui,1.0.302.v200805140230,org.eclipse.jst.ws.ui,1228823936062
