what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.dltk.rse.ui,0.95.0.v20080609-1540,org.eclipse.dltk.rse.ui,1228824044593
stopped,bundle,org.eclipse.dltk.ruby.activestatedebugger,0.95.0.v20080604-1628,org.eclipse.dltk.ruby.activestatedebugger,1228824044594
stopped,bundle,org.eclipse.dltk.ruby.fastdebugger,0.95.0.v20080611-2024,org.eclipse.dltk.ruby.fastdebugger,1228824044601
stopped,bundle,org.eclipse.dltk.tcl.activestatedebugger,0.95.0.v20080609-1540,org.eclipse.dltk.tcl.activestatedebugger,1228824044602
stopped,bundle,org.eclipse.dltk.ruby.basicdebugger,0.95.0.v20080623-1408,org.eclipse.dltk.ruby.basicdebugger,1228824044603
stopped,bundle,org.eclipse.dltk.debug.ui,0.95.0.v20080611-1825,org.eclipse.dltk.debug.ui,1228824044604
stopped,bundle,org.eclipse.dltk.tcl.tclchecker,0.95.0.v20080611-1825,org.eclipse.dltk.tcl.tclchecker,1228824044605
stopped,bundle,org.eclipse.dltk.validators.ui,0.95.0.v20080526-1423,org.eclipse.dltk.validators.ui,1228824044606
stopped,bundle,org.eclipse.dltk.mylyn,0.95.0.v20080622-0123,org.eclipse.dltk.mylyn,1228824044606
stopped,bundle,org.eclipse.dltk.ui,0.95.0.v20080617-1812,org.eclipse.dltk.ui,1228824044606
stopped,bundle,org.eclipse.m2m.qvt.oml.editor.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.editor.ui,1228824044606
stopped,bundle,org.eclipse.tptp.monitoring.instrumentation.ui,4.4.100.v200806120100,org.eclipse.tptp.monitoring.instrumentation.ui,1228824044607
stopped,bundle,org.eclipse.tptp.trace.arm.ui,4.3.100.v200806120100,org.eclipse.tptp.trace.arm.ui,1228824044607
stopped,bundle,org.eclipse.tptp.platform.instrumentation.ui,4.3.100.v200806120100,org.eclipse.tptp.platform.instrumentation.ui,1228824044607
stopped,bundle,org.eclipse.tptp.platform.profile.server.wst,4.3.200.v200805160100,org.eclipse.tptp.platform.profile.server.wst,1228824044607
stopped,bundle,org.eclipse.tptp.platform.profile.server.core,4.2.100.v200806060730,org.eclipse.tptp.platform.profile.server.core,1228824044608
stopped,bundle,org.eclipse.tptp.platform.jvmti.client,4.4.100.v200806120100,org.eclipse.tptp.platform.jvmti.client,1228824044608
stopped,bundle,org.eclipse.tptp.platform.probekit.launch,4.4.100.v200804110100,org.eclipse.tptp.platform.probekit.launch,1228824044609
stopped,bundle,org.eclipse.hyades.probekit.ui,4.1.301.v200805300100,org.eclipse.hyades.probekit.ui,1228824044610
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.pde.ui,1228824044610
stopped,bundle,org.eclipse.tptp.lta.symptom.epi,4.5.0.v200805132041,org.eclipse.tptp.lta.symptom.epi,1228824044610
stopped,bundle,org.eclipse.tptp.monitoring.lta.symptom.editor,4.5.0.v200805270100,org.eclipse.tptp.monitoring.lta.symptom.editor,1228824044611
stopped,bundle,org.eclipse.tptp.lta.sdb.epi,4.5.0.v200805132041,org.eclipse.tptp.lta.sdb.epi,1228824044611
stopped,bundle,org.eclipse.hyades.lta.sdb,4.5.0.v200806051823,org.eclipse.hyades.lta.sdb,1228824044613
stopped,bundle,org.eclipse.xsd.editor,2.4.0.v200806091234,org.eclipse.xsd.editor,1228824044613
