what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1228823934046
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1228823934066
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1228823934085
started,bundle,org.eclipse.dltk.core,0.95.0.v20080616-1933,org.eclipse.dltk.core,1228823934161
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1228823934233
started,bundle,org.eclipse.dltk.launching,0.95.0.v20080617-1501,org.eclipse.dltk.launching,1228823934234
started,bundle,org.eclipse.dltk.ui,0.95.0.v20080617-1812,org.eclipse.dltk.ui,1228823934237
started,bundle,org.eclipse.dltk.mylyn,0.95.0.v20080622-0123,org.eclipse.dltk.mylyn,1228823934241
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228823934457
stopped,bundle,org.eclipse.dltk.xotcl.ui,0.95.0.v20080616-1622,org.eclipse.dltk.xotcl.ui,1228823935717
stopped,bundle,org.eclipse.dltk.tcl.testing.tcltest,0.95.0.v20080617-1501,org.eclipse.dltk.tcl.testing.tcltest,1228823935718
stopped,bundle,org.eclipse.dltk.xotcl.testing.xounit,0.95.0.v20080617-1501,org.eclipse.dltk.xotcl.testing.xounit,1228823935719
stopped,bundle,org.eclipse.dltk.tcl.testing,0.95.0.v20080609-1540,org.eclipse.dltk.tcl.testing,1228823935719
stopped,bundle,org.eclipse.dltk.tcl.debug.ui,0.95.0.v20080604-1628,org.eclipse.dltk.tcl.debug.ui,1228823935720
stopped,bundle,org.eclipse.dltk.itcl.ui,0.95.0.v20080526-1423,org.eclipse.dltk.itcl.ui,1228823935721
stopped,bundle,org.eclipse.dltk.tcl.ui,0.95.0.v20080616-1622,org.eclipse.dltk.tcl.ui,1228823935722
stopped,bundle,org.eclipse.tptp.monitoring.lta.profile.server,4.5.0.v200805271330,org.eclipse.tptp.monitoring.lta.profile.server,1228823935722
stopped,bundle,org.eclipse.tptp.lta.log.epi,4.5.0.v200805132041,org.eclipse.tptp.lta.log.epi,1228823935722
stopped,bundle,org.eclipse.tptp.monitoring.lta.logui,4.5.0.v200805141427,org.eclipse.tptp.monitoring.lta.logui,1228823935722
stopped,bundle,org.eclipse.tptp.monitoring.lta.examples,4.5.0.v200805132041,org.eclipse.tptp.monitoring.lta.examples,1228823935722
stopped,bundle,org.eclipse.tptp.platform.lta.log.views,4.5.0.v200806051823,org.eclipse.tptp.platform.lta.log.views,1228823935723
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.0.v200804302218,org.eclipse.wst.jsdt.web.support.jsp,1228823935723
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.0.v200804302218,org.eclipse.wst.jsdt.web.ui,1228823935724
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.200.v200805150230,org.eclipse.jst.servlet.ui,1228823935725
stopped,bundle,org.eclipse.jst.jee.ui,1.0.100.v200805221242,org.eclipse.jst.jee.ui,1228823935726
