what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,org.eclipse.dltk.ruby.ui,1228823935854
stopped,bundle,org.eclipse.dltk.rse.ui,0.95.0.v20080609-1540,org.eclipse.dltk.rse.ui,1228823935855
stopped,bundle,org.eclipse.dltk.ruby.activestatedebugger,0.95.0.v20080604-1628,org.eclipse.dltk.ruby.activestatedebugger,1228823935855
stopped,bundle,org.eclipse.dltk.ruby.fastdebugger,0.95.0.v20080611-2024,org.eclipse.dltk.ruby.fastdebugger,1228823935856
stopped,bundle,org.eclipse.dltk.tcl.activestatedebugger,0.95.0.v20080609-1540,org.eclipse.dltk.tcl.activestatedebugger,1228823935857
stopped,bundle,org.eclipse.dltk.ruby.basicdebugger,0.95.0.v20080623-1408,org.eclipse.dltk.ruby.basicdebugger,1228823935857
stopped,bundle,org.eclipse.dltk.debug.ui,0.95.0.v20080611-1825,org.eclipse.dltk.debug.ui,1228823935858
stopped,bundle,org.eclipse.dltk.tcl.tclchecker,0.95.0.v20080611-1825,org.eclipse.dltk.tcl.tclchecker,1228823935859
stopped,bundle,org.eclipse.dltk.validators.ui,0.95.0.v20080526-1423,org.eclipse.dltk.validators.ui,1228823935859
stopped,bundle,org.eclipse.dltk.mylyn,0.95.0.v20080622-0123,org.eclipse.dltk.mylyn,1228823935859
stopped,bundle,org.eclipse.dltk.ui,0.95.0.v20080617-1812,org.eclipse.dltk.ui,1228823935915
stopped,bundle,org.eclipse.m2m.qvt.oml.editor.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.editor.ui,1228823935915
stopped,bundle,org.eclipse.tptp.monitoring.instrumentation.ui,4.4.100.v200806120100,org.eclipse.tptp.monitoring.instrumentation.ui,1228823935916
stopped,bundle,org.eclipse.tptp.trace.arm.ui,4.3.100.v200806120100,org.eclipse.tptp.trace.arm.ui,1228823935916
stopped,bundle,org.eclipse.tptp.platform.instrumentation.ui,4.3.100.v200806120100,org.eclipse.tptp.platform.instrumentation.ui,1228823935916
stopped,bundle,org.eclipse.tptp.platform.profile.server.wst,4.3.200.v200805160100,org.eclipse.tptp.platform.profile.server.wst,1228823935916
stopped,bundle,org.eclipse.tptp.platform.profile.server.core,4.2.100.v200806060730,org.eclipse.tptp.platform.profile.server.core,1228823935917
stopped,bundle,org.eclipse.tptp.platform.jvmti.client,4.4.100.v200806120100,org.eclipse.tptp.platform.jvmti.client,1228823935917
stopped,bundle,org.eclipse.tptp.platform.probekit.launch,4.4.100.v200804110100,org.eclipse.tptp.platform.probekit.launch,1228823935918
stopped,bundle,org.eclipse.hyades.probekit.ui,4.1.301.v200805300100,org.eclipse.hyades.probekit.ui,1228823935919
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.pde.ui,1228823935919
stopped,bundle,org.eclipse.tptp.lta.symptom.epi,4.5.0.v200805132041,org.eclipse.tptp.lta.symptom.epi,1228823935919
stopped,bundle,org.eclipse.tptp.monitoring.lta.symptom.editor,4.5.0.v200805270100,org.eclipse.tptp.monitoring.lta.symptom.editor,1228823935920
stopped,bundle,org.eclipse.tptp.lta.sdb.epi,4.5.0.v200805132041,org.eclipse.tptp.lta.sdb.epi,1228823935920
stopped,bundle,org.eclipse.hyades.lta.sdb,4.5.0.v200806051823,org.eclipse.hyades.lta.sdb,1228823935922
